//Fill tile for whole map
Fill:1
//TileID,x,y
3,-1,-9
3,-1,-8
3,-1,-7
3,-1,-6
3,-1,-5
3,0,-7
3,1,-7
3,2,-7
3,2,-8
3,2,-9
3,2,-6
3,2,-5
3,4,-6
3,4,-5
3,4,-7
3,4,-8
3,4,-9
3,5,-9
3,6,-9
3,5,-7
3,6,-7
3,6,-5
3,5,-5
3,8,-9
3,8,-8
3,8,-7
3,8,-6
3,8,-5
3,9,-5
3,10,-5
3,12,-9
3,12,-8
3,12,-7
3,12,-6
3,12,-5
3,13,-5
3,14,-5
3,16,-9
3,16,-8
3,16,-7
3,16,-6
3,16,-5
3,17,-5
3,18,-5
3,19,-5
3,19,-6
3,19,-7
3,19,-8
3,19,-9
3,18,-9
3,17,-9
1,-5,0
1,-6,-2
1,-4,-1
1,-7,-2
1,-8,0
1,-8,-1
1,-7,0
1,-7,-1
1,-4,-2
4,0,-6
4,1,-6
4,1,-5
4,1,-4
4,2,-4
4,3,-4
4,3,-5
4,3,-6
4,3,-7
4,3,-8
4,3,-9
4,3,-10
4,2,-10
4,1,-9
4,1,-10
4,1,-8
4,0,-10
4,-1,-10
4,0,-9
4,0,-8
4,-2,-10
4,-2,-9
4,-2,-8
4,-2,-7
4,-2,-6
4,-2,-5
4,0,-5
4,0,-4
4,-1,-4
4,-2,-4
4,4,-4
4,5,-4
4,6,-4
4,7,-4
4,7,-5
4,7,-6
4,6,-6
4,5,-6
4,7,-7
4,7,-8
4,6,-8
4,5,-8
4,4,-10
4,6,-10
4,5,-10
4,7,-10
4,7,-9
4,8,-10
4,9,-10
4,9,-9
4,9,-8
4,9,-7
4,9,-6
4,8,-4
4,9,-4
4,10,-4
4,11,-4
4,11,-5
4,11,-6
4,10,-6
4,10,-7
4,11,-7
4,11,-8
4,10,-8
4,10,-9
4,11,-9
4,10,-10
4,11,-10
4,12,-10
4,13,-10
4,13,-9
4,13,-8
4,13,-7
4,13,-6
4,14,-6
4,15,-6
4,15,-5
4,15,-4
4,14,-4
4,13,-4
4,12,-4
4,14,-9
4,14,-10
4,15,-10
4,15,-9
4,15,-8
4,15,-7
4,14,-7
4,14,-8
4,17,-8
4,18,-8
4,18,-7
4,17,-7
4,17,-6
4,18,-6
4,16,-4
4,17,-4
4,18,-4
4,19,-4
4,20,-4
4,20,-5
4,20,-6
4,20,-7
4,20,-8
4,20,-9
4,20,-10
4,19,-10
4,18,-10
4,17,-10
4,16,-10
4,9,-11
4,8,-11
4,7,-11
4,10,-11
4,7,-3
4,9,-3
4,8,-3
4,10,-3
4,-2,-11
4,-1,-11
4,0,-11
4,3,-11
4,1,-11
4,2,-11
4,4,-11
4,5,-11
4,6,-11
4,11,-11
4,12,-11
4,5,-12
4,6,-12
4,3,-12
4,-1,-12
4,0,-12
4,1,-12
4,2,-12
4,-2,-12
4,-2,-13
4,-1,-13
4,0,-13
4,1,-13
4,2,-13
4,4,-13
4,4,-12
4,3,-13
4,5,-13
4,6,-13
4,8,-12
4,7,-13
4,7,-12
4,8,-13
4,9,-13
4,9,-12
4,10,-13
4,10,-12
4,11,-13
4,11,-12
4,12,-13
4,12,-12
4,13,-13
4,13,-12
4,13,-11
4,14,-11
4,14,-13
4,15,-13
4,15,-12
4,14,-12
4,15,-11
4,16,-11
4,16,-12
4,16,-13
4,17,-13
4,17,-12
4,17,-11
4,18,-11
4,18,-12
4,18,-13
4,19,-13
4,19,-12
4,19,-11
4,20,-11
4,20,-12
4,20,-13
4,5,-3
4,-2,-3
4,-1,-3
4,0,-3
4,1,-3
4,3,-3
4,2,-3
4,4,-3
4,6,-3
4,11,-3
4,12,-3
4,13,-3
4,14,-3
4,16,-3
4,15,-3
4,18,-3
4,17,-3
4,19,-3
4,20,-3
4,0,-2
4,1,-2
4,2,-2
4,3,-2
4,4,-2
4,5,-2
4,6,-2
4,7,-2
4,8,-2
4,9,-2
4,10,-2
4,11,-2
4,12,-2
4,13,-2
4,14,-2
4,15,-2
4,16,-2
4,17,-2
4,18,-2
4,19,-2
4,20,-2
4,-2,-2
4,-1,-2
